"","source","target"
"17093","Destruction/Damage/Vandalism of Property","Theft From Building"
"17094","Theft From Building","Destruction/Damage/Vandalism of Property"
"17095","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17096","All Other Larceny","Simple Assault"
"17097","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17098","Simple Assault","Destruction/Damage/Vandalism of Property"
"17099","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17100","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17101","All Other Larceny","Destruction/Damage/Vandalism of Property"
"17102","All Other Larceny","Simple Assault"
"17103","Destruction/Damage/Vandalism of Property","Simple Assault"
"17104","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17105","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17106","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17107","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17108","Weapon Law Violations","Intimidation"
"17109","Robbery","Weapon Law Violations"
"17110","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17111","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17112","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17113","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"17114","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"17115","Weapon Law Violations","Aggravated Assault"
"17116","Destruction/Damage/Vandalism of Property","Aggravated Assault"
"17117","Weapon Law Violations","Simple Assault"
"17118","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17119","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17120","Simple Assault","Shoplifting"
"17121","Theft From Motor Vehicle","Simple Assault"
"17122","Drug/Narcotic Violations","Shoplifting"
"17123","Weapon Law Violations","Drug/Narcotic Violations"
"17124","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17125","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"17126","Stolen Property Offenses","Weapon Law Violations"
"17127","Stolen Property Offenses","Drug/Narcotic Violations"
"17128","Weapon Law Violations","Drug/Narcotic Violations"
"17129","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17130","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17131","Stolen Property Offenses","Weapon Law Violations"
"17132","Stolen Property Offenses","Drug/Narcotic Violations"
"17133","Weapon Law Violations","Drug/Narcotic Violations"
"17134","Aggravated Assault","Drug/Narcotic Violations"
"17135","Aggravated Assault","Weapon Law Violations"
"17136","Drug/Narcotic Violations","Weapon Law Violations"
"17137","Motor Vehicle Theft","Destruction/Damage/Vandalism of Property"
"17138","Simple Assault","Destruction/Damage/Vandalism of Property"
"17139","Simple Assault","Destruction/Damage/Vandalism of Property"
"17140","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17141","Burglary/Breaking & Entering","Rape"
"17142","Burglary/Breaking & Entering","Destruction/Damage/Vandalism of Property"
"17143","Destruction/Damage/Vandalism of Property","Intimidation"
"17144","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17145","Aggravated Assault","Weapon Law Violations"
"17146","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17147","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"17148","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17149","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17150","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17151","Aggravated Assault","Weapon Law Violations"
"17152","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17153","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17154","Simple Assault","Intimidation"
"17155","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17156","Identity Theft","Theft From Motor Vehicle"
"17157","Identity Theft","Destruction/Damage/Vandalism of Property"
"17158","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17159","Weapon Law Violations","Drug/Narcotic Violations"
"17160","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17161","Aggravated Assault","Destruction/Damage/Vandalism of Property"
"17162","All Other Larceny","Motor Vehicle Theft"
"17163","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17164","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"17165","Motor Vehicle Theft","Theft From Motor Vehicle"
"17166","Drug/Narcotic Violations","Counterfeiting/Forgery"
"17167","Stolen Property Offenses","Weapon Law Violations"
"17168","Stolen Property Offenses","Drug/Narcotic Violations"
"17169","Weapon Law Violations","Drug/Narcotic Violations"
"17170","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17171","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17172","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17173","All Other Larceny","Simple Assault"
"17174","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17175","Destruction/Damage/Vandalism of Property","Robbery"
"17176","Stolen Property Offenses","Weapon Law Violations"
"17177","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17178","Intimidation","Destruction/Damage/Vandalism of Property"
"17179","All Other Larceny","Destruction/Damage/Vandalism of Property"
"17180","Stolen Property Offenses","Weapon Law Violations"
"17181","Intimidation","Theft From Motor Vehicle"
"17182","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17183","Murder and Nonnegligent Manslaughter","Weapon Law Violations"
"17184","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17185","All Other Larceny","Simple Assault"
"17186","Theft From Motor Vehicle","Motor Vehicle Theft"
"17187","All Other Larceny","Destruction/Damage/Vandalism of Property"
"17188","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17189","Simple Assault","Destruction/Damage/Vandalism of Property"
"17190","Weapon Law Violations","Drug/Narcotic Violations"
"17191","Theft From Building","Intimidation"
"17192","All Other Larceny","Destruction/Damage/Vandalism of Property"
"17193","Burglary/Breaking & Entering","Destruction/Damage/Vandalism of Property"
"17194","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17195","Simple Assault","Destruction/Damage/Vandalism of Property"
"17196","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17197","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17198","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17199","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17200","Theft From Building","Destruction/Damage/Vandalism of Property"
"17201","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17202","All Other Larceny","Intimidation"
"17203","Destruction/Damage/Vandalism of Property","Theft From Building"
"17204","Weapon Law Violations","Drug/Narcotic Violations"
"17205","Simple Assault","Destruction/Damage/Vandalism of Property"
"17206","Theft From Building","Credit Card/Automated Teller Machine Fraud"
"17207","Aggravated Assault","Burglary/Breaking & Entering"
"17208","Aggravated Assault","Weapon Law Violations"
"17209","Burglary/Breaking & Entering","Weapon Law Violations"
"17210","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17211","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17212","Simple Assault","Weapon Law Violations"
"17213","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17214","Burglary/Breaking & Entering","Destruction/Damage/Vandalism of Property"
"17215","Weapon Law Violations","Drug/Narcotic Violations"
"17216","Simple Assault","Destruction/Damage/Vandalism of Property"
"17217","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17218","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17219","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17220","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17221","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17222","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17223","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17224","Weapon Law Violations","Drug/Narcotic Violations"
"17225","Simple Assault","Destruction/Damage/Vandalism of Property"
"17226","Simple Assault","Shoplifting"
"17227","Destruction/Damage/Vandalism of Property","Shoplifting"
"17228","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17229","Counterfeiting/Forgery","Drug/Narcotic Violations"
"17230","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17231","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17232","Weapon Law Violations","Drug/Narcotic Violations"
"17233","Weapon Law Violations","Simple Assault"
"17234","Drug/Narcotic Violations","Simple Assault"
"17235","Counterfeiting/Forgery","Stolen Property Offenses"
"17236","Intimidation","Theft From Building"
"17237","All Other Larceny","Simple Assault"
"17238","Burglary/Breaking & Entering","Simple Assault"
"17239","Weapon Law Violations","Robbery"
"17240","All Other Larceny","Simple Assault"
"17241","Destruction/Damage/Vandalism of Property","Simple Assault"
"17242","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"17243","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"17244","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"17245","All Other Larceny","Simple Assault"
"17246","Weapon Law Violations","Stolen Property Offenses"
"17247","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"17248","Weapon Law Violations","Drug/Narcotic Violations"
"17249","Destruction/Damage/Vandalism of Property","Drug/Narcotic Violations"
"17250","Aggravated Assault","Murder and Nonnegligent Manslaughter"
"17251","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17252","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17253","Theft From Building","Simple Assault"
"17254","Weapon Law Violations","Drug/Narcotic Violations"
"17255","Weapon Law Violations","Robbery"
"17256","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17257","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17258","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17259","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17260","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17261","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17262","All Other Larceny","Theft From Motor Vehicle"
"17263","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17264","Destruction/Damage/Vandalism of Property","Credit Card/Automated Teller Machine Fraud"
"17265","Theft From Motor Vehicle","Credit Card/Automated Teller Machine Fraud"
"17266","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17267","Theft of Motor Vehicle Parts or Accessories","Destruction/Damage/Vandalism of Property"
"17268","Theft From Motor Vehicle","Credit Card/Automated Teller Machine Fraud"
"17269","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17270","Counterfeiting/Forgery","Drug/Narcotic Violations"
"17271","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17272","Destruction/Damage/Vandalism of Property","Motor Vehicle Theft"
"17273","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17274","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17275","Weapon Law Violations","Drug/Narcotic Violations"
"17276","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17277","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17278","Weapon Law Violations","Simple Assault"
"17279","All Other Larceny","Simple Assault"
"17280","Pornography/Obscene Material","Intimidation"
"17281","Destruction/Damage/Vandalism of Property","Simple Assault"
"17282","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17283","Destruction/Damage/Vandalism of Property","Intimidation"
"17284","Intimidation","Motor Vehicle Theft"
"17285","Motor Vehicle Theft","Theft From Motor Vehicle"
"17286","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"17287","Aggravated Assault","Motor Vehicle Theft"
"17288","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17289","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"17290","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"17291","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17292","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17293","Destruction/Damage/Vandalism of Property","Simple Assault"
"17294","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17295","Theft From Building","Simple Assault"
"17296","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17297","Destruction/Damage/Vandalism of Property","Simple Assault"
"17298","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17299","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"17300","All Other Larceny","Destruction/Damage/Vandalism of Property"
"17301","All Other Larceny","Simple Assault"
"17302","All Other Larceny","Shoplifting"
"17303","Destruction/Damage/Vandalism of Property","Simple Assault"
"17304","Destruction/Damage/Vandalism of Property","Shoplifting"
"17305","Simple Assault","Shoplifting"
"17306","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
