"","source","target"
"359","Simple Assault","Aggravated Assault"
"360","Destruction/Damage/Vandalism of Property","Simple Assault"
"361","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"362","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"363","Robbery","Destruction/Damage/Vandalism of Property"
"364","Simple Assault","Destruction/Damage/Vandalism of Property"
"365","Aggravated Assault","Robbery"
"366","All Other Larceny","Purse-snatching"
"367","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"368","All Other Larceny","Destruction/Damage/Vandalism of Property"
"369","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"370","Destruction/Damage/Vandalism of Property","All Other Larceny"
"371","Drug/Narcotic Violations","Drug Equipment Violations"
"372","Drug Equipment Violations","Drug/Narcotic Violations"
"373","Destruction/Damage/Vandalism of Property","Simple Assault"
"374","Destruction/Damage/Vandalism of Property","All Other Larceny"
"375","Drug Equipment Violations","Drug/Narcotic Violations"
"376","All Other Larceny","Destruction/Damage/Vandalism of Property"
"377","Aggravated Assault","Destruction/Damage/Vandalism of Property"
"378","Simple Assault","Destruction/Damage/Vandalism of Property"
"379","All Other Larceny","Destruction/Damage/Vandalism of Property"
"380","Robbery","Intimidation"
"381","Destruction/Damage/Vandalism of Property","Motor Vehicle Theft"
"382","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"383","Motor Vehicle Theft","Theft From Motor Vehicle"
"384","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"385","Burglary/Breaking & Entering","Destruction/Damage/Vandalism of Property"
"386","Simple Assault","Aggravated Assault"
"387","Aggravated Assault","Stolen Property Offenses"
"388","Aggravated Assault","Intimidation"
"389","Aggravated Assault","Simple Assault"
"390","Stolen Property Offenses","Intimidation"
"391","Stolen Property Offenses","Simple Assault"
"392","Intimidation","Simple Assault"
"393","Destruction/Damage/Vandalism of Property","Motor Vehicle Theft"
"394","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"395","Simple Assault","Robbery"
"396","Simple Assault","Weapon Law Violations"
"397","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"398","Stolen Property Offenses","Simple Assault"
"399","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"400","Destruction/Damage/Vandalism of Property","Simple Assault"
"401","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"402","Theft From Motor Vehicle","Motor Vehicle Theft"
"403","Destruction/Damage/Vandalism of Property","Motor Vehicle Theft"
"404","Drug/Narcotic Violations","Drug Equipment Violations"
"405","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"406","Stolen Property Offenses","Purse-snatching"
"407","Drug/Narcotic Violations","Drug Equipment Violations"
"408","Drug/Narcotic Violations","Simple Assault"
"409","Drug Equipment Violations","Simple Assault"
"410","Weapon Law Violations","Simple Assault"
"411","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"412","Drug/Narcotic Violations","Drug Equipment Violations"
"413","Drug Equipment Violations","Drug/Narcotic Violations"
"414","All Other Larceny","Simple Assault"
"415","Simple Assault","Destruction/Damage/Vandalism of Property"
"416","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"417","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"418","Weapon Law Violations","Drug/Narcotic Violations"
"419","Drug/Narcotic Violations","Drug Equipment Violations"
"420","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"421","Drug/Narcotic Violations","Simple Assault"
"422","Destruction/Damage/Vandalism of Property","All Other Larceny"
"423","Drug/Narcotic Violations","Weapon Law Violations"
"424","Simple Assault","Destruction/Damage/Vandalism of Property"
"425","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"426","Simple Assault","Weapon Law Violations"
"427","Destruction/Damage/Vandalism of Property","All Other Larceny"
"428","Motor Vehicle Theft","Destruction/Damage/Vandalism of Property"
"429","Intimidation","Destruction/Damage/Vandalism of Property"
"430","Purse-snatching","Stolen Property Offenses"
"431","Drug/Narcotic Violations","Simple Assault"
"432","Drug Equipment Violations","Weapon Law Violations"
"433","Drug Equipment Violations","Drug/Narcotic Violations"
"434","Weapon Law Violations","Drug/Narcotic Violations"
"435","Drug/Narcotic Violations","Simple Assault"
"436","Drug/Narcotic Violations","Drug Equipment Violations"
"437","Simple Assault","Destruction/Damage/Vandalism of Property"
"438","Destruction/Damage/Vandalism of Property","All Other Larceny"
"439","Drug/Narcotic Violations","Drug Equipment Violations"
"440","Motor Vehicle Theft","Destruction/Damage/Vandalism of Property"
"441","Destruction/Damage/Vandalism of Property","Simple Assault"
"442","Drug/Narcotic Violations","Drug Equipment Violations"
"443","All Other Larceny","Aggravated Assault"
"444","All Other Larceny","Simple Assault"
"445","Aggravated Assault","Simple Assault"
"446","Drug Equipment Violations","Drug/Narcotic Violations"
"447","Pocket-picking","Credit Card/Automated Teller Machine Fraud"
"448","Simple Assault","All Other Larceny"
"449","Drug/Narcotic Violations","Weapon Law Violations"
"450","Simple Assault","Destruction/Damage/Vandalism of Property"
"451","Robbery","Destruction/Damage/Vandalism of Property"
"452","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"453","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"454","Destruction/Damage/Vandalism of Property","Motor Vehicle Theft"
"455","Aggravated Assault","Simple Assault"
"456","Stolen Property Offenses","Purse-snatching"
"457","Simple Assault","Aggravated Assault"
"458","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"459","Weapon Law Violations","Robbery"
"460","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"461","Simple Assault","Drug/Narcotic Violations"
"462","Fondling","Simple Assault"
"463","Simple Assault","Drug/Narcotic Violations"
"464","Destruction/Damage/Vandalism of Property","All Other Larceny"
"465","Weapon Law Violations","Aggravated Assault"
"466","Destruction/Damage/Vandalism of Property","All Other Larceny"
"467","Drug Equipment Violations","Stolen Property Offenses"
"468","Weapon Law Violations","Counterfeiting/Forgery"
"469","Drug Equipment Violations","Drug/Narcotic Violations"
"470","Robbery","Weapon Law Violations"
"471","Simple Assault","Drug/Narcotic Violations"
"472","Destruction/Damage/Vandalism of Property","Drug/Narcotic Violations"
"473","Destruction/Damage/Vandalism of Property","Simple Assault"
"474","Drug/Narcotic Violations","Simple Assault"
"475","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"476","Weapon Law Violations","Simple Assault"
"477","Weapon Law Violations","Aggravated Assault"
"478","Simple Assault","Aggravated Assault"
"479","Drug Equipment Violations","Drug/Narcotic Violations"
"480","Simple Assault","Destruction/Damage/Vandalism of Property"
"481","Simple Assault","Aggravated Assault"
"482","Drug Equipment Violations","Intimidation"
"483","Drug Equipment Violations","Simple Assault"
"484","Drug/Narcotic Violations","Drug Equipment Violations"
"485","Destruction/Damage/Vandalism of Property","Weapon Law Violations"
"486","Weapon Law Violations","Drug/Narcotic Violations"
"487","Drug/Narcotic Violations","Drug Equipment Violations"
"488","Burglary/Breaking & Entering","Destruction/Damage/Vandalism of Property"
"489","Drug Equipment Violations","Drug/Narcotic Violations"
