data_year,agency_id,incident_id,nibrs_month_id,cargo_theft_flag,submission_date,incident_date,report_date_flag,incident_hour,cleared_except_id,cleared_except_date,incident_status,data_home,orig_format,did
2021,2243,146709304,40354692,f,2022-01-07 20:01:17.329,2021-10-24,f,0,6,,ACCEPTED,,F,122060113
2021,2243,146709397,40364000,f,2022-01-07 20:01:17.975,2021-11-01,f,19,6,,ACCEPTED,,F,122060250
2021,2243,150921627,40354692,f,2022-03-14 18:49:26.499,2021-10-28,f,13,6,,ACCEPTED,,F,134719701
2021,2243,145433514,40364000,f,2021-12-07 11:08:07.179,2021-11-02,f,12,6,,ACCEPTED,,F,119209490
2021,2243,145433454,40354692,f,2021-12-07 11:08:06.545,2021-10-20,f,11,6,,ACCEPTED,,F,119209417
2021,2243,145432956,40364000,f,2021-12-07 11:08:01.086,2021-11-02,f,13,6,,ACCEPTED,,F,119208738
2021,2243,146709071,40354692,f,2022-01-07 20:01:15.211,2021-10-22,f,5,6,,ACCEPTED,,F,122059786
2021,2243,146708891,40364000,f,2022-01-07 20:01:14.2,2021-11-02,f,12,6,,ACCEPTED,,F,122059540
2021,2243,145433465,40337130,f,2021-12-07 11:08:06.658,2021-09-29,f,16,6,,ACCEPTED,,F,119209432
2021,2243,145432911,40364000,f,2021-12-07 11:08:00.296,2021-11-02,f,12,6,,ACCEPTED,,F,119208664
2021,2243,145433541,40364000,f,2021-12-07 11:08:07.361,2021-11-02,f,12,6,,ACCEPTED,,F,119209522
2021,2243,149544547,40337130,f,2022-02-28 11:55:54.474,2021-09-27,f,18,6,,ACCEPTED,,F,129295652
2021,2243,145433142,40364000,f,2021-12-07 11:08:03.078,2021-11-02,f,13,6,,ACCEPTED,,F,119208994
2021,2243,145433636,40364000,f,2021-12-07 11:08:08.075,2021-11-01,f,13,6,,ACCEPTED,,F,119209649
2021,2243,145433713,40364000,f,2021-12-07 11:08:08.695,2021-11-02,f,11,6,,ACCEPTED,,F,119209756
2021,2243,146708998,40364000,f,2022-01-07 20:01:14.716,2021-11-02,f,12,6,,ACCEPTED,,F,122059685
2021,2243,145433318,40364000,f,2021-12-07 11:08:05.276,2021-11-02,f,13,6,,WARNINGS,,F,119209255
2021,2243,145433470,40364000,f,2021-12-07 11:08:06.715,2021-11-02,f,13,6,,ACCEPTED,,F,119209437
2021,2243,145434661,40364000,f,2021-12-07 11:08:16.06,2021-11-02,f,13,6,,ACCEPTED,,F,119211249
2021,2243,145433849,40354692,f,2021-12-07 11:08:09.755,2021-10-30,f,12,6,,ACCEPTED,,F,119209939
2021,2243,146708939,40364000,f,2022-01-07 20:01:14.417,2021-11-01,f,11,6,,ACCEPTED,,F,122059600
2021,2243,145433560,40364000,f,2021-12-07 11:08:07.497,2021-11-02,f,14,6,,ACCEPTED,,F,119209546
2021,2243,145433095,40364000,f,2021-12-07 11:08:02.485,2021-11-01,f,12,6,,ACCEPTED,,F,119208923
2021,2243,145433718,40364000,f,2021-12-07 11:08:08.731,2021-11-02,f,13,6,,ACCEPTED,,F,119209760
2021,2243,150921897,40364000,f,2022-03-14 18:49:31.735,2021-11-02,f,13,2,2022-02-28,ACCEPTED,,F,134720217
2021,2243,146708913,40364000,f,2022-01-07 20:01:14.279,2021-11-03,f,0,6,,ACCEPTED,,F,122059563
2021,2243,145433392,40354692,f,2021-12-07 11:08:06.103,2021-10-07,f,0,6,,ACCEPTED,,F,119209351
2021,2243,146708861,40364000,f,2022-01-07 20:01:14.033,2021-11-02,f,14,6,,ACCEPTED,,F,122059501
2021,2243,145433126,40364000,f,2021-12-07 11:08:02.974,2021-11-02,f,14,6,,ACCEPTED,,F,119208981
2021,2243,145434238,40364000,f,2021-12-07 11:08:13.023,2021-11-02,f,15,6,,WARNINGS,,F,119210529
2021,2243,145433348,40364000,f,2021-12-07 11:08:05.659,2021-11-01,f,22,6,,ACCEPTED,,F,119209300
2021,2243,145433027,40364000,f,2021-12-07 11:08:01.721,2021-11-02,f,12,6,,ACCEPTED,,F,119208829
2021,2243,146708907,40364000,f,2022-01-07 20:01:14.271,2021-11-02,f,14,6,,WARNINGS,,F,122059559
2021,2243,145433058,40364000,f,2021-12-07 11:08:02.055,2021-11-01,f,12,6,,ACCEPTED,,F,119208877
2021,2243,145433693,40354692,f,2021-12-07 11:08:08.54,2021-10-28,f,22,6,,ACCEPTED,,F,119209723
2021,2243,145433064,40364000,f,2021-12-07 11:08:02.127,2021-11-02,f,14,6,,ACCEPTED,,F,119208887
2021,2243,145433519,40364000,f,2021-12-07 11:08:07.216,2021-11-02,f,14,6,,ACCEPTED,,F,119209496
2021,2243,145433089,40364000,f,2021-12-07 11:08:02.437,2021-11-02,f,18,6,,ACCEPTED,,F,119208919
2021,2243,145433722,40364000,f,2021-12-07 11:08:08.746,2021-11-02,f,15,6,,ACCEPTED,,F,119209763
2021,2243,145433749,40354692,f,2021-12-07 11:08:08.968,2021-10-12,f,13,6,,ACCEPTED,,F,119209808
2021,2243,146708873,40354692,f,2022-01-07 20:01:14.083,2021-10-19,f,0,6,,ACCEPTED,,F,122059512
2021,2243,145433006,40354692,f,2021-12-07 11:08:01.462,2021-10-28,f,17,6,,ACCEPTED,,F,119208795
2021,2243,145435872,40364000,f,2021-12-07 11:08:25.192,2021-11-02,f,15,6,,ACCEPTED,,F,119213525
2021,2243,150921590,40364000,f,2022-03-14 18:49:25.445,2021-11-02,f,2,6,,ACCEPTED,,F,134719634
2021,2243,146708849,40364000,f,2022-01-07 20:01:13.968,2021-11-02,f,15,6,,ACCEPTED,,F,122059480
2021,2243,145433596,40364000,f,2021-12-07 11:08:07.702,2021-11-02,f,14,6,,ACCEPTED,,F,119209579
2021,2243,145433421,40364000,f,2021-12-07 11:08:06.349,2021-11-02,f,1,6,,ACCEPTED,,F,119209388
2021,2243,145433667,40364000,f,2021-12-07 11:08:08.304,2021-11-02,f,14,6,,ACCEPTED,,F,119209684
2021,2243,145434333,40364000,f,2021-12-07 11:08:13.759,2021-11-02,f,16,6,,WARNINGS,,F,119210701
2021,2243,145433233,40364000,f,2021-12-07 11:08:04.24,2021-11-02,f,14,6,,ACCEPTED,,F,119209132
2021,2243,146708827,40364000,f,2022-01-07 20:01:13.864,2021-11-01,f,15,6,,ACCEPTED,,F,122059450
2021,2243,145434606,40364000,f,2021-12-07 11:08:15.695,2021-11-02,f,11,6,,ACCEPTED,,F,119211154
2021,2243,145433628,40364000,f,2021-12-07 11:08:08.03,2021-11-02,f,1,6,,ACCEPTED,,F,119209639
2021,2243,146709207,40354692,f,2022-01-07 20:01:16.39,2021-10-29,f,12,6,,ACCEPTED,,F,122059974
2021,2243,146709054,40354692,f,2022-01-07 20:01:15.037,2021-10-18,f,12,6,,ACCEPTED,,F,122059753
2021,2243,145433523,40354692,f,2021-12-07 11:08:07.244,2021-10-31,f,12,6,,ACCEPTED,,F,119209501
2021,2243,145433020,40354692,f,2021-12-07 11:08:01.631,2021-10-04,f,16,6,,ACCEPTED,,F,119208820
2021,2243,145433473,40364000,f,2021-12-07 11:08:06.644,2021-11-02,f,17,6,,ACCEPTED,,F,119209433
2021,2243,146708963,40354692,f,2022-01-07 20:01:14.512,2021-10-21,f,16,6,,WARNINGS,,F,122059634
2021,2243,145433549,40354692,f,2021-12-07 11:08:07.418,2021-10-30,f,20,6,,ACCEPTED,,F,119209531
2021,2243,145433249,40364000,f,2021-12-07 11:08:04.424,2021-11-02,f,17,6,,ACCEPTED,,F,119209152
2021,2243,146709156,40364000,f,2022-01-07 20:01:15.868,2021-11-02,f,17,6,,ACCEPTED,,F,122059900
2021,2243,145432974,40364000,f,2021-12-07 11:08:01.254,2021-11-01,f,1,6,,ACCEPTED,,F,119208758
2021,2243,145433213,40364000,f,2021-12-07 11:08:04.059,2021-11-02,f,17,6,,ACCEPTED,,F,119209108
2021,2243,145433425,40364000,f,2021-12-07 11:08:06.366,2021-11-02,f,17,6,,ACCEPTED,,F,119209390
2021,2243,146708794,40364000,f,2022-01-07 20:01:13.587,2021-11-02,f,18,6,,WARNINGS,,F,122059386
2021,2243,146709331,40364000,f,2022-01-07 20:01:17.592,2021-11-02,f,18,6,,ACCEPTED,,F,122060154
2021,2243,146708820,40364000,f,2022-01-07 20:01:13.806,2021-11-02,f,17,6,,ACCEPTED,,F,122059435
2021,2243,146709430,40364000,f,2022-01-07 20:01:18.248,2021-11-01,f,10,6,,ACCEPTED,,F,122060297
2021,2243,145433648,40354692,f,2021-12-07 11:08:08.141,2021-10-28,f,23,6,,ACCEPTED,,F,119209664
2021,2243,146709402,40364000,f,2022-01-07 20:01:18.022,2021-11-02,f,18,6,,ACCEPTED,,F,122060257
2021,2243,145433410,40364000,f,2021-12-07 11:08:06.254,2021-11-02,f,17,6,,ACCEPTED,,F,119209370
2021,2243,145433272,40364000,f,2021-12-07 11:08:04.731,2021-11-01,f,0,6,,ACCEPTED,,F,119209195
2021,2243,145433148,40354692,f,2021-12-07 11:08:03.342,2021-10-30,f,1,6,,ACCEPTED,,F,119209015
2021,2243,145433309,40364000,f,2021-12-07 11:08:05.194,2021-11-01,f,9,6,,ACCEPTED,,F,119209246
2021,2243,145433548,40364000,f,2021-12-07 11:08:07.387,2021-11-01,f,0,6,,ACCEPTED,,F,119209526
2021,2243,145433072,40364000,f,2021-12-07 11:08:02.238,2021-11-02,f,16,6,,ACCEPTED,,F,119208898
2021,2243,145436066,40364000,f,2021-12-07 11:08:26.588,2021-11-02,f,20,6,,ACCEPTED,,F,119213838
2021,2243,145433972,40364000,f,2021-12-07 11:08:11.055,2021-11-02,f,19,6,,ACCEPTED,,F,119210117
2021,2243,145433357,40364000,f,2021-12-07 11:08:05.726,2021-11-02,f,18,6,,ACCEPTED,,F,119209309
2021,2243,146709159,40354692,f,2022-01-07 20:01:15.889,2021-10-12,f,0,6,,ACCEPTED,,F,122059905
2021,2243,146709344,40354692,f,2022-01-07 20:01:17.676,2021-10-04,f,12,6,,ACCEPTED,,F,122060176
2021,2243,145433141,40364000,f,2021-12-07 11:08:03.16,2021-11-02,f,9,6,,ACCEPTED,,F,119209001
2021,2243,146709180,40354692,f,2022-01-07 20:01:16.058,2021-10-30,f,0,6,,ACCEPTED,,F,122059939
2021,2243,149544669,40364000,f,2022-02-28 11:55:55.704,2021-11-02,f,19,6,,ACCEPTED,,F,129295819
2021,2243,145433013,40364000,f,2021-12-07 11:08:01.553,2021-11-02,f,20,6,,ACCEPTED,,F,119208807
2021,2243,145433422,40364000,f,2021-12-07 11:08:06.342,2021-11-02,f,19,6,,ACCEPTED,,F,119209386
2021,2243,145433533,40364000,f,2021-12-07 11:08:07.291,2021-11-02,f,11,6,,ACCEPTED,,F,119209511
2021,2243,145433643,40364000,f,2021-12-07 11:08:08.116,2021-11-02,f,20,6,,ACCEPTED,,F,119209658
